Project,Package,Version
src/WileyWidget.Uno,Uno.Extensions.Navigation.Toolkit.WinUI,5.0.2
src/WileyWidget.Uno,Uno.WinUI.RemoteControl,5.5.37
src/WileyWidget.Uno,Uno.WinUI.Lottie,6.4.43
src/WileyWidget.Uno,Uno.Resizetizer,1.3.0
src/WileyWidget.Uno,Uno.Extensions.Configuration,5.0.2
src/WileyWidget.Uno,Uno.Extensions.Hosting.WinUI,5.0.2
src/WileyWidget.Uno,Uno.Extensions.Logging.WinUI,5.0.2
src/WileyWidget.Uno,Uno.Toolkit.WinUI,6.3.5
src/WileyWidget.Uno,Uno.Themes.WinUI.Markup,5.3.1
src/WileyWidget.Uno,CommunityToolkit.Mvvm,8.4.0
src/WileyWidget.Uno,Microsoft.WindowsAppSDK,1.7.250310001
src/WileyWidget.Uno,Prism.Core,9.0.537
src/WileyWidget.Uno,Prism.Uno.WinUI,9.0.537
src/WileyWidget.Uno,Syncfusion.Licensing,31.2.10
src/WileyWidget.Uno,Syncfusion.Core.WinUI,31.2.10
src/WileyWidget.Uno,Microsoft.EntityFrameworkCore,9.0.10
src/WileyWidget.Uno,Microsoft.Data.SqlClient,6.1.2

src/WileyWidget.WinUI,Microsoft.WindowsAppSDK,1.8.251106002
src/WileyWidget.WinUI,Prism.Core,9.0.537
src/WileyWidget.WinUI,Syncfusion.Licensing,31.2.10
src/WileyWidget.WinUI,Microsoft.EntityFrameworkCore,9.0.10
src/WileyWidget.WinUI,Microsoft.Data.SqlClient,6.1.3

src/WileyWidget.Services,Microsoft.ApplicationInsights,2.23.0
src/WileyWidget.Services,OpenTelemetry,1.13.1
src/WileyWidget.Services,Prism.Core,9.0.537
src/WileyWidget.Services,Microsoft.EntityFrameworkCore,9.0.10
src/WileyWidget.Services,Microsoft.Data.SqlClient,6.1.2
src/WileyWidget.Services,Serilog,4.3.0
src/WileyWidget.Services,Syncfusion.Licensing,31.2.5

src/WileyWidget.Data,Microsoft.EntityFrameworkCore,9.0.10
src/WileyWidget.Data,Microsoft.EntityFrameworkCore.InMemory,9.0.10
src/WileyWidget.Data,Microsoft.Data.SqlClient,5.2.2

src/WileyWidget.Business,Microsoft.EntityFrameworkCore,9.0.10
src/WileyWidget.Business,Polly,8.4.1
src/WileyWidget.Business,IppOAuth2PlatformSdk,14.0.0

src/WileyWidget.Models,Microsoft.EntityFrameworkCore,9.0.10
src/WileyWidget.Models,FluentValidation,11.9.2

src/WileyWidget.Services.Uno,OpenTelemetry,1.13.1
src/WileyWidget.Services.Uno,Prism.Core,9.0.537
src/WileyWidget.Services.Uno,Microsoft.EntityFrameworkCore,9.0.10
src/WileyWidget.Services.Uno,Syncfusion.Licensing,31.2.5

src/SyncfusionMcpServer,Microsoft.Extensions.DependencyInjection,
src/SyncfusionMcpServer,Microsoft.Extensions.Logging,
src/SyncfusionMcpServer,System.Text.Json,
src/SyncfusionMcpServer,Syncfusion.Licensing,
