AccountNumber                                      TotalBudget                             
-------------------------------------------------- ----------------------------------------
200-101                                                                              700.00
200-102                                                                            18000.00
200-103                                                                             1800.00
200-104                                                                              100.00
200-105                                                                              200.00
200-106                                                                             2500.00
200-107                                                                             6600.00
200-108                                                                             2000.00
200-109                                                                             7500.00
200-110                                                                             7600.00
200-111                                                                                7.00
200-112                                                                              300.00
200-113                                                                             2400.00
200-114                                                                             2000.00
200-115                                                                          5725427.00
200-201                                                                          5725427.00
200-202                                                                           150000.00
200-203                                                                             2100.00
200-204                                                                             2000.00
310.00                                                                              6000.00
311.20                                                                              1500.00
312.00                                                                              5100.00
313.00                                                                              1775.00
314.00                                                                              2500.00
318.20                                                                              7058.00
319.00                                                                                35.00
322.70                                                                                50.00
332.1                                                                                360.00
333.00                                                                               240.00
334.31                                                                             18153.00
336.00                                                                            120000.00
337.17                                                                              1460.00
350.00                                                                             10000.00
361.00                                                                               325.00
362.00                                                                              2500.00
363.00                                                                              1100.00
365.00                                                                               100.00
370.00                                                                             12000.00
373.00                                                                              2400.00
405                                                                                50000.00
405.1                                                                              20000.00

(41 rows affected)
