AccountNumber,Name,RawType,QboAccountType,LocalType,LocalTypeDescription,SourcePage,TypeInferred
110,CASH IN BANK,Bank,Bank,0,Cash,1,false
110.1,CASH-BASEBALL FIELD PROJECT,Bank,Bank,0,Cash,1,false
120,INVESTMENTS,Bank,Bank,0,Cash,1,false
130,INTERGOVERNMENTAL RECEIVABLE,Bank,Bank,0,Cash,1,false
140,GRANT RECEIVABLE,Bank,Bank,0,Cash,1,false
210,ACCOUNTS PAYABLE,Other Current Liability,OtherCurrentLiability,6,Payables,1,false
290,BASEBALL FIELF PROJECT LOAN . WALKING TRAIL LOAN . DUE TO/FROM TOW GENERAL FUND . DUE TO/FROM TOW UTILITY FUND . FUND BALANCE,Other Current Liability,OtherCurrentLiability,6,Payables,1,true
30000,Opening Bal,Equity,Equity,10,FundBalance,1,false
32000,Unrestricted Net Assets,Equity,Equity,10,FundBalance,1,true
370,GAIN/LOSS DISPOSAL OF ASSETS,Income,Income,16,Revenue,1,true
360,TRANSFER FROM REC FUND,Income,Income,16,Revenue,1,true
211.1,BALLFIELD ACCRUED INTEREST,Other Current Liability,OtherCurrentLiability,6,Payables,1,true
212.2,WALKING TRAIL ACCRUED INTEREST,Other Current Liability,OtherCurrentLiability,6,Payables,1,true
1120,CASH IN BANK - BASEBALL/SOFTBAL,Bank,Bank,0,Cash,2,false
1130,SAVINGS ACCOUNT,Bank,Bank,0,Cash,2,false
1840,BUILDINGS,Bank,Bank,0,Cash,2,false
1860,EQUIPMENT,Bank,Bank,0,Cash,2,false
1900,ACCUMULATED DEPRICIATION,Other Current Asset,Bank,0,Cash,2,false
271,Retained Earnings,Equity,Equity,10,FundBalance,2,false
4110.2,VOLLEYBALL DUES,Income,Income,16,Revenue,2,true
01,CHECKING ACCOUNT-Enterprise,Bank,Bank,0,Cash,4,false
02,WSD-General Fund,Bank,Bank,0,Cash,4,false
51.3,LEGACY BANK CD #6469,Bank,Bank,0,Cash,4,true
2000,Undeposited Funds,Other Current Asset,Bank,0,Cash,4,false
80,CONSTRUCTION IN PROGRESS,Bank,Bank,0,Cash,4,true
05,ACCOUNTS RECEIVABLE,Accounts Receivable,AccountsReceivable,0,Cash,4,false
15.7,INTERGOVERNMENTAL RECEIVABLE,Bank,Bank,0,Cash,4,false
32,CASH WITH COUNTY TREASURER,Bank,Bank,0,Cash,4,true
40,LAND,Bank,Bank,0,Cash,4,true
41,SEWER SYSTEM,Bank,Bank,0,Cash,4,true
42,EQUIPMENT,Bank,Bank,0,Cash,4,true
43,FURNITURE & FIXTURES,Bank,Bank,0,Cash,4,true
46,ACCUMULATED DEPRECIATION,Bank,Bank,0,Cash,4,true
55,PREPAID INSURANCE,Bank,Bank,0,Cash,4,true
205,DEFERRED REVENUE - PROPERTY TAX,Other Current Liability,OtherCurrentLiability,6,Payables,4,true
215,DEFERRED REVENUE-RESCUE FUND,Other Current Liability,OtherCurrentLiability,6,Payables,4,true
217.1,FEDERAL W/H TAXES PAYBALE,Other Current Liability,OtherCurrentLiability,6,Payables,4,true
217.2,STATE W/H TAXES PAYABLE,Other Current Liability,OtherCurrentLiability,6,Payables,4,true
217.3,SOC SEC W/H TAXES PAYABLE,Other Current Liability,OtherCurrentLiability,6,Payables,4,true
222,DUE TO/FROM SANITATION DISTRICT,Other Current Liability,OtherCurrentLiability,6,Payables,4,false
